Word,Count
THE,129
BOY,7
WHO,2
LIVED,1
Mr,1026
and,25366
Mrs,724
Dursley,85
of,21525
number,186
four,241
Privet,84
Drive,85
were,4558
proud,48
to,26644
say,864
that,9663
they,4418
perfectly,98
normal,107
thank,68
you,10129
very,1907
much,1027
.They,1270
the,47684
last,1028
people,843
youd,216
expect,153
be,4419
involved,37
in,12304
anything,699
strange,121
or,1466
mysterious,33
because,768
just,2059
didnt,1297
hold,155
with,6334
such,271
nonsense,18
.Mr,214
was,15513
director,2
a,19890
firm,20
called,341
Grunnings,3
which,1426
made,925
drills,9
.He,4787
big,157
beefy,3
man,469
hardly,154
any,858
neck,199
although,71
he,14006
did,2053
have,4053
large,640
mustache,48
.Mrs,131
thin,181
blonde,25
had,10087
nearly,226
twice,91
usual,264
amount,51
came,750
useful,66
as,7065
she,3234
spent,110
so,2473
her,5303
time,1670
craning,13
over,2376
garden,101
fences,1
spying,12
on,6817
neighbors,28
.The,3124
s,600
small,464
son,181
Dudley,275
their,2512
opinion,36
there,2344
no,1719
finer,5
boy,474
anywhere,77
Dursleys,220
everything,338
wanted,556
but,4123
also,222
secret,106
greatest,45
fear,140
somebody,129
would,2200
discover,22
it,10660
think,1694
could,2759
bear,42
if,1997
anyone,365
found,607
out,4313
about,2455
Potters,93
Potter,987
sister,129
hadnt,296
met,201
for,5333
several,277
years,541
fact,244
pretended,39
goodfornothing,2
husband,32
unDursleyish,1
possible,156
shuddered,21
what,2975
arrived,205
street,138
knew,988
too,1299
never,1033
even,885
seen,605
him,6982
.This,401
another,665
good,771
reason,137
keeping,120
away,1124
want,966
mixing,6
child,45
like,2284
.When,381
woke,45
up,4314
dull,56
gray,128
Tuesday,18
our,539
story,162
starts,11
nothing,583
cloudy,12
sky,155
outside,345
suggest,40
things,421
soon,195
happening,77
all,3913
country,50
hummed,5
picked,149
his,13695
most,518
boring,25
tie,23
work,356
gossiped,1
happily,127
wrestled,4
screaming,93
into,3437
high,246
chair,280
.None,41
them,4170
noticed,223
tawny,7
owl,235
flutter,12
past,440
window,419
.At,267
half,336
eight,50
briefcase,10
pecked,1
cheek,39
tried,427
kiss,30
goodbye,49
missed,103
now,2260
having,272
tantrum,5
throwing,103
cereal,4
at,8374
walls,197
.Little,18
tyke,3
chortled,8
left,916
house,378
got,2005
car,155
backed,56
fours,10
drive,32
.It,1646
corner,280
first,922
sign,209
something,1110
peculiar,21
cat,102
reading,114
map,106
.For,213
second,469
realize,98
then,2045
jerked,45
head,1214
around,2247
look,1241
again,1904
.There,870
tabby,5
standing,444
wasnt,521
sight,340
.What,969
been,3233
thinking,277
?It,123
must,637
trick,38
light,486
blinked,49
stared,372
back,3200
.As,456
drove,25
road,52
watched,288
mirror,123
said,11462
looking,1613
cats,27
couldnt,506
read,332
maps,4
signs,47
gave,606
himself,1124
little,962
shake,47
put,622
mind,477
toward,1058
town,13
thought,1256
except,184
order,63
hoping,101
get,1568
day,436
.But,1394
edge,151
driven,19
by,2111
else,463
sat,459
morning,288
traffic,7
jam,10
help,495
noticing,42
seemed,1133
lot,329
strangely,42
dressed,63
.People,68
cloaks,44
who,2639
funny,142
clothes,78
getups,1
saw,1212
young,162
!He,170
supposed,333
this,2716
some,853
stupid,182
new,390
fashion,20
drummed,4
fingers,247
steering,16
wheel,11
eyes,1613
fell,462
huddle,10
these,447
weirdos,5
quite,521
close,307
whispering,52
excitedly,84
together,384
enraged,4
see,1809
couple,149
werent,131
why,576
older,50
than,1399
wearing,302
an,2472
emeraldgreen,9
cloak,261
!The,153
nerve,32
!But,146
struck,55
probably,155
silly,42
stunt,1
obviously,95
collecting,16
.yes,29
moved,313
few,685
minutes,306
later,382
parking,3
always,387
office,414
ninth,4
floor,642
.If,530
might,796
harder,71
concentrate,30
owls,119
swooping,22
broad,30
daylight,17
though,1757
down,2332
pointed,284
gazed,65
openmouthed,14
after,1008
sped,80
overhead,59
.Most,49
nighttime,13
however,367
owlfree,1
yelled,183
five,232
different,158
important,162
telephone,40
calls,10
shouted,274
bit,542
more,1860
mood,64
until,440
lunchtime,16
when,1893
hed,459
stretch,29
legs,203
walk,135
across,551
buy,59
bun,9
from,4047
bakery,1
.Hed,55
forgotten,127
passed,337
group,111
next,658
bakers,1
eyed,20
angrily,181
know,2246
uneasy,19
bunch,29
single,113
tin,16
way,1126
clutching,131
doughnut,2
bag,240
caught,341
words,334
saying,333
thats,437
right,1467
I,6181
heard,929
yes,255
Harry,11667
stopped,334
dead,358
.Fear,4
flooded,18
looked,2359
whisperers,3
better,509
dashed,53
hurried,249
snapped,131
secretary,5
not,4985
disturb,6
seized,191
almost,385
finished,213
dialing,1
home,205
changed,105
receiver,9
stroked,11
.no,32
being,540
.Potter,80
unusual,39
name,370
sure,710
lots,21
.Come,218
nephew,8
Harvey,1
.Or,56
Harold,2
point,274
worrying,28
upset,55
mention,102
blame,49
.but,156
same,417
those,449
afternoon,106
building,42
oclock,106
still,1636
worried,128
walked,469
straight,227
someone,292
door,1316
.Sorry,68
grunted,44
tiny,232
old,682
stumbled,31
seconds,181
before,1388
realized,207
violet,13
seem,215
knocked,117
ground,386
.On,138
contrary,32
face,1521
split,95
wide,173
smile,240
squeaky,12
voice,1455
passersby,9
stare,54
Dont,51
sorry,258
my,1659
dear,234
sir,331
me,2810
today,126
!Rejoice,1
You,164
KnowWho,18
has,786
gone,447
!Even,2
Muggles,160
yourself,158
should,442
celebrating,13
happy,180
!And,161
hugged,26
middle,157
off,1829
stood,593
rooted,12
spot,145
complete,66
stranger,30
Muggle,246
whatever,116
rattled,18
set,457
imagining,23
hoped,70
approve,9
imagination,18
pulled,575
driveway,3
thing,604
improve,13
spotted,93
sitting,425
wall,353
one,2298
markings,12
its,1755
.Shoo,1
!said,1135
loudly,304
move,242
stern,19
.Was,71
behavior,43
?Mr,23
wondered,142
.Trying,14
pull,83
let,596
determined,92
wife,61
nice,126
.She,1012
told,1073
dinner,138
Next,4
Doors,1
problems,16
daughter,38
how,1182
learned,80
word,319
Wont,1
act,72
normally,37
bed,477
went,674
living,124
room,1276
catch,135
report,46
evening,191
news,142
And,133
finally,182
birdwatchers,1
everywhere,71
reported,17
nations,1
behaving,7
unusually,24
.Although,18
hunt,11
night,557
are,1830
ever,782
hundreds,70
sightings,5
birds,33
flying,177
every,523
direction,134
since,305
sunrise,5
.Experts,1
unable,96
explain,104
suddenly,446
sleeping,58
pattern,5
newscaster,1
allowed,133
grin,58
.And,1430
Jim,3
McGuffin,1
weather,45
.Going,9
showers,3
tonight,178
?Well,155
Ted,37
weatherman,1
dont,1485
only,1255
acting,41
oddly,58
.Viewers,1
far,353
apart,145
Kent,3
Yorkshire,6
Dundee,1
phoning,1
tell,897
instead,177
rain,79
promised,31
yesterday,37
theyve,118
downpour,5
shooting,35
stars,58
!Perhaps,2
Bonfire,1
Night,1
early,95
week,161
folks,1
can,1211
promise,44
wet,57
frozen,59
armchair,66
.Shooting,2
Britain,22
?Owls,1
?Mysterious,1
place,542
?And,139
whisper,94
carrying,157
two,900
cups,18
tea,138
cleared,73
